title,price,rating,oprice,brand
"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Lightning Black)  ","1,199",4.0,"₹1,199",boAt
"Noise Newly Launched Twist Bluetooth Calling Smart Watch with 1.38"" TFT Biggest Display, Up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)  ","1,999",4.1,"₹1,999",Noise
"boAt Wave Prime47 Smart Watch with 1.69"" HD Display, 700+ Active Modes, ASAP Charge, Live Cricket Scores, Crest App Health Ecosystem, HR & SpO2 Monitoring(Forest Green)  ","1,199",3.4,"₹1,199",boAt
USM ID116 Smart Watch Smart Bracelet Fitness Tracker Color Screen Smartwatch Heart Rate Blood Pressure Pedometer Sleep Monitor  ,329,4.3,₹329,USM
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240 * 240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating, Rs 100 Off on UPI  ","1,799",4.3,"₹1,799",Fire-Boltt
Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054  ,399,4.0,₹399,LOUIS DEVIN
"Bouncefit D20 Y68 Fitness Band Smartwatch – Single Touch Interface, Water Resistant, Workout Modes, Quick Charge Sports Smartwatch for Boys and Girls – Jet Black  ",479,3.0,₹479,Bouncefit
"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Pitch Black)  ","1,799",4.1,"₹1,799",boAt
"Hammer Ace 3.0 Bluetooth Calling Smart Watch with Largest 1.85"" IPS Display, Dual Mode, Spo2, Heart Rate, Strong Metallic Body & Skin Friendly Strap (Black)  ","1,499",4.5,"₹1,499",Hammer
Analog Black Dial Unisex-Adult Watch-38024PP25  ,850,4.2,₹850,Fastrack
Smart Watch for Men Women ID116 Plus Smart Bracelet Fitness Tracker Color Screen Smartwatch Heart Rate Blood Pressure Pedometer Sleep Monitor  ,399,4.4,₹399,Mobivax
boAt Watch Wave Lite  ,"1,499",3.9,"₹1,499",boAt
Analog Silver Dial Men's Watch-1864SL07  ,"1,148",5.0,"₹1,148",Titan
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.2cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Lime Green)  ","1,299",4.0,"₹1,299",Noise
Analog Day & Date Display Wrist Watch for Men & Boys (Black)  ,299,3.6,₹299,Matrix
"ID-116 Smartwatch for Men's Womens Boys Girls, Bluetooth Smart Fitness Band Watch with Heart Rate Activity Tracker Step & Sports Activity Tracker Smart Watch for  ",394,3.5,₹394,Generic
"Tokdis MX-1 Pro Bluetooth Calling Smartwatch - 1.69” LCD Display, Multiple Watch Faces, Sleep Monitor, Heart & SpO2 Monitoring, Multiple Sports Modes  ",799,3.1,₹799,Tokdis
Digital Sports Multi Functional Black Dial Watch for Mens Boys -315RED  ,284,3.8,₹284,Shocknshop
"Digital 24 Images Projector Watch for Kids Boys Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906  ",289,4.1,₹289,ADAMO
"Honor Magic Watch 2 (46mm, Charcoal Black) 14-Days Battery, SpO2, BT Calling & Music Playback, 100 Workout Modes, AMOLED Touch Screen, Personalized Watch Faces, Sleep & HR Monitor, Smart Companion  ","7,999",4.4,"₹7,999",Honor
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking, Rs 100 Off on UPI  ","2,499",4.0,"₹2,499",Fire-Boltt
"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, 1.69"" Display, AI Voice Assistance with 100 Sports Modes, with SpO2 & Heart Rate Monitoring  ","1,699",4.2,"₹1,699",Fire-Boltt
Analogue Women's Watch (Black Dial)  ,759,3.9,₹759,IMPERIOUS - THE ROYAL WAY
